Year,Ortsteil,District,GeoCode,Value
2021,Adlershof,Treptow-K\u00f6penick,re_ortsteil.0907,35
2021,Altglienicke,Treptow-K\u00f6penick,re_ortsteil.0906,66
2021,Alt-Treptow,Treptow-K\u00f6penick,re_ortsteil.0901,73
2021,Baumschulenweg,Treptow-K\u00f6penick,re_ortsteil.0903,34
2021,Bohnsdorf,Treptow-K\u00f6penick,re_ortsteil.0908,7
2021,Friedrichshagen,Treptow-K\u00f6penick,re_ortsteil.0911,37
2021,Gr\u00fcnau,Treptow-K\u00f6penick,re_ortsteil.0913,28
2021,Johannisthal,Treptow-K\u00f6penick,re_ortsteil.0904,4
2021,K\u00f6penick,Treptow-K\u00f6penick,re_ortsteil.0910,103
2021,M\u00fcggelheim,Treptow-K\u00f6penick,re_ortsteil.0914,5
2021,Niedersch\u00f6neweide,Treptow-K\u00f6penick,re_ortsteil.0905,25
2021,Obersch\u00f6neweide,Treptow-K\u00f6penick,re_ortsteil.0909,32
2021,Pl\u00e4nterwald,Treptow-K\u00f6penick,re_ortsteil.0902,18
2021,Rahnsdorf,Treptow-K\u00f6penick,re_ortsteil.0912,15
2021,Schm\u00f6ckwitz,Treptow-K\u00f6penick,re_ortsteil.0915,49
