Year,Badestelle,Value
2016-2019,Badestelle Schmöckwitz,Ausgezeichnet
2016-2019,Seddinsee,Ausgezeichnet
2016-2019,Große Krampe,Ausgezeichnet
2016-2019,Badestelle Bammelecke,Ausgezeichnet
2016-2019,Freibad Grünau,Ausgezeichnet
2016-2019,Freibad Wendenschloss,Ausgezeichnet
2016-2019,Flussbad Gartenstrasse,Ausgezeichnet
2016-2019,Seebad Friedrichshagen,Ausgezeichnet
2016-2019,Strandbad Müggelsee,Ausgezeichnet
2016-2019,Badestelle Kleiner Müggelsee,Ausgezeichnet
2016-2019,Badestelle Dämeritzsee,Ausgezeichnet
2017-2020,Badestelle Schmöckwitz,Ausgezeichnet
2017-2020,Seddinsee,Ausgezeichnet
2017-2020,Große Krampe,Ausgezeichnet
2017-2020,Badestelle Bammelecke,Ausgezeichnet
2017-2020,Freibad Grünau,Ausgezeichnet
2017-2020,Freibad Wendenschloss,Ausgezeichnet
2017-2020,Flussbad Gartenstrasse,Ausgezeichnet
2017-2020,Seebad Friedrichshagen,Ausgezeichnet
2017-2020,Strandbad Müggelsee,Ausgezeichnet
2017-2020,Badestelle Kleiner Müggelsee,Ausgezeichnet
2017-2020,Badestelle Dämeritzsee,Ausgezeichnet
