Year,Ortsteil,District,GeoCode,Value
2021,Alt-Treptow,Treptow-Koepenick,re_ortsteil.0901,3
2021,Plaenterwald,Treptow-Koepenick,re_ortsteil.0902,1
2021,Baumschulenweg,Treptow-Koepenick,re_ortsteil.0903,2
2021,Johannisthal,Treptow-Koepenick,re_ortsteil.0904,0
2021,Niederschoeneweide,Treptow-Koepenick,re_ortsteil.0905,0
2021,Altglienicke,Treptow-Koepenick,re_ortsteil.0906,0
2021,Adlershof,Treptow-Koepenick,re_ortsteil.0907,0
2021,Bohnsdorf,Treptow-Koepenick,re_ortsteil.0908,0
2021,Oberschoeneweide,Treptow-Koepenick,re_ortsteil.0909,2
2021,Koepenick,Treptow-Koepenick,re_ortsteil.0910,2
2021,Friedrichshagen,Treptow-Koepenick,re_ortsteil.0911,1
2021,Rahnsdorf,Treptow-Koepenick,re_ortsteil.0912,0
2021,Gruenau,Treptow-Koepenick,re_ortsteil.0913,1
2021,Mueggelheim,Treptow-Koepenick,re_ortsteil.0914,0
2021,Schmoeckwitz,Treptow-Koepenick,re_ortsteil.0915,0
