Year,Hauptverkehrsmittel,Räumliche Verkehrsarten,Value
2019,Zu Fuß,Binnenverkehr,29.3
2019,Fahrrad,Binnenverkehr,16.6
2019,Motorisierter Individualverkehr,Binnenverkehr,28.5
2019,Öffentlicher Verkehr,Binnenverkehr,25.6
2019,Zu Fuß,Quell- u. Zielverkehr,2.6
2019,Fahrrad,Quell- u. Zielverkehr,5.6
2019,Motorisierter Individualverkehr,Quell- u. Zielverkehr,64.5
2019,Öffentlicher Verkehr,Quell- u. Zielverkehr,27.4
2019,Zu Fuß,Alle Wege,27.6
2019,Fahrrad,Alle Wege,15.7
2019,Motorisierter Individualverkehr,Alle Wege,31.0
2019,Öffentlicher Verkehr,Alle Wege,25.6
