Year,Emittentensektoren,Value
1990,Gesamt,1650.81
1990,Umwandlungssektor,867.02
1990,Verarbeitendes Gewerbe,95.24
1990,Verkehr,263.16
1990,"Haushalte, Gewerbe, Handel und Dienstleistungen, übrige Verbraucher",425.46
2000,Gesamt,1634.28
2000,Umwandlungssektor,773.27
2000,Verarbeitendes Gewerbe,32.84
2000,Verkehr,343.08
2000,"Haushalte, Gewerbe, Handel und Dienstleistungen, übrige Verbraucher",485.15
2010,Gesamt,1391.7
2010,Umwandlungssektor,597.52
2010,Verarbeitendes Gewerbe,39.43
2010,Verkehr,310.56
2010,"Haushalte, Gewerbe, Handel und Dienstleistungen, übrige Verbraucher",444.19
2011,Gesamt,1218.32
2011,Umwandlungssektor,521.99
2011,Verarbeitendes Gewerbe,39.25
2011,Verkehr,309.83
2011,"Haushalte, Gewerbe, Handel und Dienstleistungen, übrige Verbraucher",347.24
2012,Gesamt,1225.47
2012,Umwandlungssektor,524.15
2012,Verarbeitendes Gewerbe,35.91
2012,Verkehr,311.97
2012,"Haushalte, Gewerbe, Handel und Dienstleistungen, übrige Verbraucher",353.44
2013,Gesamt,1269.95
2013,Umwandlungssektor,525.48
2013,Verarbeitendes Gewerbe,31.61
2013,Verkehr,325.21
2013,"Haushalte, Gewerbe, Handel und Dienstleistungen, übrige Verbraucher",387.66
2014,Gesamt,1203.8
2014,Umwandlungssektor,506.7
2014,Verarbeitendes Gewerbe,20.94
2014,Verkehr,353.98
2014,"Haushalte, Gewerbe, Handel und Dienstleistungen, übrige Verbraucher",322.18
2015,Gesamt,1160.65
2015,Umwandlungssektor,496.96
2015,Verarbeitendes Gewerbe,21.47
2015,Verkehr,339.91
2015,"Haushalte, Gewerbe, Handel und Dienstleistungen, übrige Verbraucher",302.3
2016,Gesamt,1197.14
2016,Umwandlungssektor,504.89
2016,Verarbeitendes Gewerbe,19.09
2016,Verkehr,354.01
2016,"Haushalte, Gewerbe, Handel und Dienstleistungen, übrige Verbraucher",319.15
2017,Gesamt,1189.45
2017,Umwandlungssektor,489.32
2017,Verarbeitendes Gewerbe,19.56
2017,Verkehr,363.6
2017,"Haushalte, Gewerbe, Handel und Dienstleistungen, übrige Verbraucher",316.98
2018,Gesamt,1117.56
2018,Umwandlungssektor,425.66
2018,Verarbeitendes Gewerbe,19.51
2018,Verkehr,373.84
2018,"Haushalte, Gewerbe, Handel und Dienstleistungen, übrige Verbraucher",298.55
