Year,Air quality,Value
2015,Particulates (PM10),9
2015,Ozone hourly values,5
2015,Ozone 8-hour values,31
2016,Particulates (PM10),4
2016,Ozone hourly values,0
2016,Ozone 8-hour values,32
2017,Particulates (PM10),4
2017,Ozone hourly values,0
2017,Ozone 8-hour values,8
2018,Particulates (PM10),5
2018,Ozone hourly values,3
2018,Ozone 8-hour values,36
2019,Particulates (PM10),1
2019,Ozone hourly values,1
2019,Ozone 8-hour values,33
2020,Particulates (PM10),1
2020,Ozone hourly values,0
2020,Ozone 8-hour values,20
2021,Particulates (PM10),1
2021,Ozone hourly values,0
2021,Ozone 8-hour values,14
