Year,Main means of transport,Traffic flow types,Value
2019,Walking,Domestic traffic,29.3
2019,Bicycle,Domestic traffic,16.6
2019,Motorized private transport,Domestic traffic,28.5
2019,Public transport,Domestic traffic,25.6
2019,Walking,Source and destination traffic,2.6
2019,Bicycle,Source and destination traffic,5.6
2019,Motorized private transport,Source and destination traffic,64.5
2019,Public transport,Source and destination traffic,27.4
2019,Walking,All routes,27.6
2019,Bicycle,All routes,15.7
2019,Motorized private transport,All routes,31.0
2019,Public transport,All routes,25.6
