Year,Emitting sectors,Value
1990,Total,1650.81
1990,Transformation sector,867.02
1990,Manufacturing sector,95.24
1990,Transportation,263.16
1990,"Households, business, trade and services, other consumers",425.46
2000,Total,1634.28
2000,Transformation sector,773.27
2000,Manufacturing sector,32.84
2000,Transportation,343.08
2000,"Households, business, trade and services, other consumers",485.15
2010,Total,1391.7
2010,Transformation sector,597.52
2010,Manufacturing sector,39.43
2010,Transportation,310.56
2010,"Households, business, trade and services, other consumers",444.19
2011,Total,1218.32
2011,Transformation sector,521.99
2011,Manufacturing sector,39.25
2011,Transportation,309.83
2011,"Households, business, trade and services, other consumers",347.24
2012,Total,1225.47
2012,Transformation sector,524.15
2012,Manufacturing sector,35.91
2012,Transportation,311.97
2012,"Households, business, trade and services, other consumers",353.44
2013,Total,1269.95
2013,Transformation sector,525.48
2013,Manufacturing sector,31.61
2013,Transportation,325.21
2013,"Households, business, trade and services, other consumers",387.66
2014,Total,1203.8
2014,Transformation sector,506.7
2014,Manufacturing sector,20.94
2014,Transportation,353.98
2014,"Households, business, trade and services, other consumers",322.18
2015,Total,1160.65
2015,Transformation sector,496.96
2015,Manufacturing sector,21.47
2015,Transportation,339.91
2015,"Households, business, trade and services, other consumers",302.3
2016,Total,1197.14
2016,Transformation sector,504.89
2016,Manufacturing sector,19.09
2016,Transportation,354.01
2016,"Households, business, trade and services, other consumers",319.15
2017,Total,1189.45
2017,Transformation sector,489.32
2017,Manufacturing sector,19.56
2017,Transportation,363.6
2017,"Households, business, trade and services, other consumers",316.98
2018,Total,1117.56
2018,Transformation sector,425.66
2018,Manufacturing sector,19.51
2018,Transportation,373.84
2018,"Households, business, trade and services, other consumers",298.55
