Year,Area,Value
2020,Nature reserves,1258.4
2020,Protected landscape areas,1113.4
2020,Total,2371.8
2019,Nature reserves,1258.7
2019,Protected landscape areas,1113.3
2019,Total,2372.0
2018,Nature reserves,1258.7
2018,Protected landscape areas,1111.1
2018,Total,2369.8
2017,Nature reserves,1258.7
2017,Protected landscape areas,1179.8
2017,Total,2438.5
2016,Nature reserves,1064.7
2016,Protected landscape areas,377.8
2016,Total,1442.5
2015,Nature reserves,1058.2
2015,Protected landscape areas,377.8
2015,Total,1436.0
2014,Nature reserves,1058.2
2014,Protected landscape areas,377.8
2014,Total,1436.0
2013,Nature reserves,1030.2
2013,Protected landscape areas,370.1
2013,Total,1400.3
2012,Nature reserves,1030.2
2012,Protected landscape areas,370.1
2012,Total,1400.3
2011,Nature reserves,1030.2
2011,Protected landscape areas,370.1
2011,Total,1400.3
2010,Nature reserves,1033.2
2010,Protected landscape areas,370.1
2010,Total,1403.3
2009,Nature reserves,1033.2
2009,Protected landscape areas,370.1
2009,Total,1403.3
2008,Nature reserves,1033.2
2008,Protected landscape areas,370.1
2008,Total,1403.3
2007,Nature reserves,998.7
2007,Protected landscape areas,370.1
2007,Total,1368.8
2006,Nature reserves,998.7
2006,Protected landscape areas,370.1
2006,Total,1368.8
2005,Nature reserves,998.7
2005,Protected landscape areas,370.1
2005,Total,1368.8
