Value,Disaggregation combinations using this value,Number of indicators
Bicycle - Public transport - Bicycle,1,1
Bicycle - Public transport - Walking,1,1
Bicycle,1,1
Motorized individual transport Driver - Walking,1,1
Motorized individual transport Driver,1,1
Motorized individual transport Passenger,1,1
Motorized private transport Passenger - Walking,1,1
Other,1,1
Walking - Motorized individual transport Driver - Walking,1,1
Walking - Motorized individual transport Driver,1,1
Walking - Motorized individual transport Passenger - Walking,1,1
Walking - Motorized individual transport Passenger,1,1
Walking - Public transport - Bicycle,1,1
Walking - Public transport - Walking - Public transport - Walking,1,1
Walking - Public transport - Walking,1,1
Walking,1,1
